"Spectrum I(f) of current at speaker terminals"					
"Signal lines"		"Noise + Distortions"		"Noise floor"	
"Frequency [Hz]"	"[dB]   0 dB = 1 A"	"Frequency [Hz]"	"[dB]   0 dB = 1 A"	"Frequency [Hz]"	"[dB]   0 dB = 1 A"
		339.844	-113.224	339.844	-113.224
				339.844	-113.224
341.309	-55.1233			341.309	-123.503
341.309	-123.503			341.309	-123.503
				341.309	-123.503
		342.773	-104.372	342.773	-111.358
		342.773	-111.358	342.773	-111.358
				342.773	-111.358
		344.238	-103.229	344.238	-111.716
		344.238	-111.716	344.238	-111.716
				344.238	-111.716
		345.703	-100.927	345.703	-119.946
		345.703	-119.946	345.703	-119.946
				345.703	-119.946
				347.168	-112.703
				347.168	-112.703
				347.168	-112.703
		348.633	-103.459	348.633	-123.949
		348.633	-123.949	348.633	-123.949
				348.633	-123.949
		350.098	-100.799	350.098	-115.695
		350.098	-115.695	350.098	-115.695
				350.098	-115.695
351.563	-55.1367			351.563	-107.189
351.563	-107.189			351.563	-107.189
				351.563	-107.189
				353.027	-108.178
				353.027	-108.178
				353.027	-108.178
		354.492	-108.26	354.492	-118.941
		354.492	-118.941	354.492	-118.941
				354.492	-118.941
		355.957	-104.026	355.957	-117.948
		355.957	-117.948	355.957	-117.948
				355.957	-117.948
		357.422	-99.2937	357.422	-113.984
		357.422	-113.984	357.422	-113.984
				357.422	-113.984
		358.887	-98.9929	358.887	-113.138
		358.887	-113.138	358.887	-113.138
				358.887	-113.138
		360.352	-105.629	360.352	-111.191
		360.352	-111.191	360.352	-111.191
				360.352	-111.191
361.816	-55.1673			361.816	-118.339
361.816	-118.339			361.816	-118.339
				361.816	-118.339
		363.281	-100.29	363.281	-110.218
		363.281	-110.218	363.281	-110.218
				363.281	-110.218
		364.746	-111.731	364.746	-118.718
		364.746	-118.718	364.746	-118.718
				364.746	-118.718
		366.211	-102.674	366.211	-111.663
		366.211	-111.663	366.211	-111.663
				366.211	-111.663
		367.676	-105.518	367.676	-113.661
		367.676	-113.661	367.676	-113.661
				367.676	-113.661
		369.141	-100.963	369.141	-116.147
		369.141	-116.147	369.141	-116.147
				369.141	-116.147
		370.605	-105.615	370.605	-111.289
		370.605	-111.289	370.605	-111.289
				370.605	-111.289
372.07	-55.1714			372.07	-111.994
372.07	-111.994			372.07	-111.994
				372.07	-111.994
		373.535	-106.495	373.535	-108.995
		373.535	-108.995	373.535	-108.995
				373.535	-108.995
		375	-98.4412	375	-111.571
		375	-111.571	375	-111.571
				375	-111.571
		376.465	-96.6274	376.465	-117.776
		376.465	-117.776	376.465	-117.776
				376.465	-117.776
		377.93	-109.502	377.93	-115.195
		377.93	-115.195	377.93	-115.195
				377.93	-115.195
		379.395	-104.096	379.395	-126.144
		379.395	-126.144	379.395	-126.144
				379.395	-126.144
		380.859	-107.741	380.859	-112.557
		380.859	-112.557	380.859	-112.557
				380.859	-112.557
382.324	-55.2541			382.324	-111.315
382.324	-111.315			382.324	-111.315
				382.324	-111.315
		383.789	-102.156	383.789	-111.338
		383.789	-111.338	383.789	-111.338
				383.789	-111.338
		385.254	-106.011	385.254	-113.492
		385.254	-113.492	385.254	-113.492
				385.254	-113.492
		386.719	-106.435	386.719	-122.469
		386.719	-122.469	386.719	-122.469
				386.719	-122.469
		388.184	-102.988	388.184	-116.249
		388.184	-116.249	388.184	-116.249
				388.184	-116.249
		389.648	-108.837	389.648	-122.222
		389.648	-122.222	389.648	-122.222
				389.648	-122.222
		391.113	-98.3488	391.113	-115.146
		391.113	-115.146	391.113	-115.146
				391.113	-115.146
		392.578	-103.197	392.578	-116.693
		392.578	-116.693	392.578	-116.693
				392.578	-116.693
394.043	-55.2355			394.043	-111.782
394.043	-111.782			394.043	-111.782
				394.043	-111.782
		395.508	-104.964	395.508	-121.478
		395.508	-121.478	395.508	-121.478
				395.508	-121.478
		396.973	-96.8546	396.973	-110.639
		396.973	-110.639	396.973	-110.639
				396.973	-110.639
		398.438	-99.275	398.438	-111.468
		398.438	-111.468	398.438	-111.468
				398.438	-111.468
		399.902	-100.373	399.902	-110.266
		399.902	-110.266	399.902	-110.266
				399.902	-110.266
		401.367	-109.754	401.367	-113.061
		401.367	-113.061	401.367	-113.061
				401.367	-113.061
		402.832	-99.6781	402.832	-109.942
		402.832	-109.942	402.832	-109.942
				402.832	-109.942
		404.297	-97.4923	404.297	-117.327
		404.297	-117.327	404.297	-117.327
				404.297	-117.327
405.762	-55.3058			405.762	-111.023
405.762	-111.023			405.762	-111.023
				405.762	-111.023
		407.227	-107.209	407.227	-108.509
		407.227	-108.509	407.227	-108.509
				407.227	-108.509
		408.691	-110.496	408.691	-122.939
		408.691	-122.939	408.691	-122.939
				408.691	-122.939
		410.156	-100.088	410.156	-112.615
		410.156	-112.615	410.156	-112.615
				410.156	-112.615
		411.621	-97.973	411.621	-112.526
		411.621	-112.526	411.621	-112.526
				411.621	-112.526
		413.086	-106.636	413.086	-119.432
		413.086	-119.432	413.086	-119.432
				413.086	-119.432
				414.551	-110.206
				414.551	-110.206
				414.551	-110.206
		416.016	-103.02	416.016	-113.959
		416.016	-113.959	416.016	-113.959
				416.016	-113.959
417.48	-55.3273			417.48	-124.834
