"Spectrum I(f) of current at speaker terminals"					
"Signal lines"		"Noise + Distortions"		"Noise floor"	
"Frequency [Hz]"	"[dB]   0 dB = 1 A"	"Frequency [Hz]"	"[dB]   0 dB = 1 A"	"Frequency [Hz]"	"[dB]   0 dB = 1 A"
303.223	-113.657			303.223	-113.657
				303.223	-113.657
				304.688	-109.523
				304.688	-109.523
				304.688	-109.523
		306.152	-102.161	306.152	-108.684
		306.152	-108.684	306.152	-108.684
				306.152	-108.684
		307.617	-98.1637	307.617	-117.121
		307.617	-117.121	307.617	-117.121
				307.617	-117.121
				309.082	-110.69
				309.082	-110.69
				309.082	-110.69
		310.547	-100.248	310.547	-107.338
		310.547	-107.338	310.547	-107.338
				310.547	-107.338
		312.012	-96.6859	312.012	-110.92
		312.012	-110.92	312.012	-110.92
				312.012	-110.92
313.477	-55.0873			313.477	-114.954
313.477	-114.954			313.477	-114.954
				313.477	-114.954
		314.941	-107.357	314.941	-109.878
		314.941	-109.878	314.941	-109.878
				314.941	-109.878
		316.406	-101.538	316.406	-112.794
		316.406	-112.794	316.406	-112.794
				316.406	-112.794
				317.871	-107.587
				317.871	-107.587
				317.871	-107.587
		319.336	-106.87	319.336	-112.359
		319.336	-112.359	319.336	-112.359
				319.336	-112.359
		320.801	-99.997	320.801	-118.487
		320.801	-118.487	320.801	-118.487
				320.801	-118.487
322.266	-55.1212			322.266	-121.504
322.266	-121.504			322.266	-121.504
				322.266	-121.504
		323.73	-98.9833	323.73	-114.689
		323.73	-114.689	323.73	-114.689
				323.73	-114.689
		325.195	-100.082	325.195	-104.602
		325.195	-104.602	325.195	-104.602
				325.195	-104.602
		326.66	-107.232	326.66	-116.573
		326.66	-116.573	326.66	-116.573
				326.66	-116.573
		328.125	-100.67	328.125	-121.735
		328.125	-121.735	328.125	-121.735
				328.125	-121.735
		329.59	-103.517	329.59	-114.894
		329.59	-114.894	329.59	-114.894
				329.59	-114.894
331.055	-55.1185			331.055	-117.204
331.055	-117.204			331.055	-117.204
				331.055	-117.204
				332.52	-109.96
				332.52	-109.96
				332.52	-109.96
		333.984	-109.408	333.984	-111.418
		333.984	-111.418	333.984	-111.418
				333.984	-111.418
		335.449	-107.761	335.449	-117.644
		335.449	-117.644	335.449	-117.644
				335.449	-117.644
		336.914	-101.374	336.914	-110.229
		336.914	-110.229	336.914	-110.229
				336.914	-110.229
		338.379	-108.568	338.379	-116.18
		338.379	-116.18	338.379	-116.18
				338.379	-116.18
		339.844	-103.517	339.844	-112.6
		339.844	-112.6	339.844	-112.6
				339.844	-112.6
341.309	-55.1326			341.309	-120.524
341.309	-120.524			341.309	-120.524
				341.309	-120.524
