"Spectrum X(f) of voice coil displacement"					
"Signal lines"		"Noise + Distortions"		"Noise floor"	
"Frequency [Hz]"	"[mm]"	"Frequency [Hz]"	"[mm]"	"Frequency [Hz]"	"[mm]"
		153.809	0.000961987	153.809	9.36751e-005
		153.809	9.36751e-005	153.809	9.36751e-005
				153.809	9.36751e-005
		155.273	0.00018994	155.273	8.68424e-005
		155.273	8.68424e-005	155.273	8.68424e-005
				155.273	8.68424e-005
156.738	0.00632215			156.738	1.92635e-005
156.738	1.92635e-005			156.738	1.92635e-005
				156.738	1.92635e-005
		158.203	0.000828861	158.203	1.96202e-005
		158.203	1.96202e-005	158.203	1.96202e-005
				158.203	1.96202e-005
		159.668	0.00050485	159.668	4.15369e-005
		159.668	4.15369e-005	159.668	4.15369e-005
				159.668	4.15369e-005
161.133	0.00553959			161.133	4.53261e-005
161.133	4.53261e-005			161.133	4.53261e-005
				161.133	4.53261e-005
		162.598	0.000542205	162.598	5.59644e-005
		162.598	5.59644e-005	162.598	5.59644e-005
				162.598	5.59644e-005
		164.063	8.72718e-005	164.063	5.04365e-005
		164.063	5.04365e-005	164.063	5.04365e-005
				164.063	5.04365e-005
165.527	0.00519023			165.527	2.29475e-005
165.527	2.29475e-005			165.527	2.29475e-005
				165.527	2.29475e-005
		166.992	0.000420104	166.992	3.42887e-005
		166.992	3.42887e-005	166.992	3.42887e-005
				166.992	3.42887e-005
		168.457	0.000240118	168.457	2.77616e-005
		168.457	2.77616e-005	168.457	2.77616e-005
				168.457	2.77616e-005
169.922	0.00539538			169.922	5.54257e-005
169.922	5.54257e-005			169.922	5.54257e-005
				169.922	5.54257e-005
		171.387	0.000815355	171.387	3.2233e-005
		171.387	3.2233e-005	171.387	3.2233e-005
				171.387	3.2233e-005
		172.852	0.00140455	172.852	6.42281e-005
		172.852	6.42281e-005	172.852	6.42281e-005
				172.852	6.42281e-005
		174.316	0.00047615	174.316	9.45523e-005
		174.316	9.45523e-005	174.316	9.45523e-005
				174.316	9.45523e-005
175.781	0.00520077			175.781	5.13869e-005
175.781	5.13869e-005			175.781	5.13869e-005
				175.781	5.13869e-005
		177.246	0.000543489	177.246	2.30349e-005
		177.246	2.30349e-005	177.246	2.30349e-005
				177.246	2.30349e-005
		178.711	0.00115299	178.711	4.21803e-005
		178.711	4.21803e-005	178.711	4.21803e-005
				178.711	4.21803e-005
180.176	0.00397534			180.176	9.0863e-005
180.176	9.0863e-005			180.176	9.0863e-005
				180.176	9.0863e-005
		181.641	0.000163528	181.641	5.68488e-005
		181.641	5.68488e-005	181.641	5.68488e-005
				181.641	5.68488e-005
		183.105	0.00116356	183.105	2.19836e-005
		183.105	2.19836e-005	183.105	2.19836e-005
				183.105	2.19836e-005
		184.57	0.000389189	184.57	9.5616e-005
		184.57	9.5616e-005	184.57	9.5616e-005
				184.57	9.5616e-005
186.035	0.00437576			186.035	6.76719e-005
186.035	6.76719e-005			186.035	6.76719e-005
				186.035	6.76719e-005
		187.5	0.000765001	187.5	6.43231e-005
		187.5	6.43231e-005	187.5	6.43231e-005
				187.5	6.43231e-005
		188.965	0.00074154	188.965	5.29692e-005
		188.965	5.29692e-005	188.965	5.29692e-005
				188.965	5.29692e-005
		190.43	0.000200147	190.43	0.000109364
		190.43	0.000109364	190.43	0.000109364
				190.43	0.000109364
191.895	0.00399118			191.895	0.000109883
191.895	0.000109883			191.895	0.000109883
				191.895	0.000109883
				193.359	9.85135e-005
				193.359	9.85135e-005
				193.359	9.85135e-005
		194.824	0.000153205	194.824	9.39856e-005
		194.824	9.39856e-005	194.824	9.39856e-005
				194.824	9.39856e-005
